,hour,longitude,latitude,value
0,0,104.0242,30.5685,7
1,0,103.8431,30.696,3
2,0,104.2591,30.5524,6
3,0,103.9035,30.8071,10
4,0,104.27,30.5717,9
5,0,104.2572,30.8876,4
6,0,104.1809,30.8445,5
7,0,104.2855,30.578,15
8,0,104.2704,30.5566,3
9,0,103.8674,30.7109,8
10,0,103.483,30.4232,4
11,0,104.0023,30.6789,7
12,0,103.8288,30.6918,6
13,0,104.1819,30.8045,3
14,0,103.8726,30.6963,11
15,0,103.8876,30.7944,14
16,0,103.6347,31.0106,11
17,0,104.0858,30.6641,13
18,0,103.9253,30.5746,8
19,0,103.6675,31.0205,3
20,0,104.1157,30.6146,4
21,0,104.2111,30.8885,8
22,0,103.6156,30.9759,7
23,0,104.1064,30.6356,4
24,0,104.0726,30.6086,6
25,0,104.0733,30.6262,16
26,0,103.8314,30.7009,4
27,0,104.0553,30.6204,7
28,0,103.6653,31.0069,10
29,0,103.7567,30.983,10
30,0,104.0705,30.5961,4
31,0,104.1243,30.7286,4
32,0,103.6557,30.9741,3
33,0,103.9771,30.5628,5
34,0,104.2443,30.8932,7
35,0,104.1282,30.6571,4
36,0,104.0284,30.6617,6
37,0,103.6672,30.9699,12
38,0,103.9653,30.585,18
39,0,104.1974,30.8056,3
40,0,103.9443,30.6792,5
41,0,103.8411,30.7121,13
42,0,103.8089,30.6975,3
43,0,104.2659,30.8751,5
44,0,104.0653,30.588,13
45,0,104.1769,30.8128,13
46,0,104.0811,30.4818,5
47,0,103.9804,30.5743,3
48,0,104.1222,30.7695,6
49,0,104.1874,30.8323,4
50,0,103.7312,30.5915,8
51,0,104.0833,30.6165,5
52,0,103.9176,30.5651,8
53,0,104.0939,30.6956,8
54,0,104.0485,30.6982,3
55,0,104.0723,30.5744,16
56,0,103.9173,30.6208,4
57,0,103.9161,30.5858,10
58,0,103.9373,30.7812,10
59,0,104.2718,30.8904,13
60,0,104.0806,30.5468,4
61,0,104.4254,30.8611,10
62,0,103.9307,30.5825,7
63,0,104.1738,30.8339,8
64,0,104.1838,30.6576,6
65,0,104.1589,30.8115,10
66,0,103.6547,31.0008,9
67,0,103.6264,30.9993,7
68,0,104.1477,30.6343,13
69,0,104.0509,30.5214,8
70,0,104.0046,30.4983,5
71,0,104.1582,30.8298,3
72,0,103.6682,30.6291,5
73,0,103.8803,30.8177,10
74,0,104.163,30.6459,5
75,0,103.6602,30.6392,4
76,0,103.9989,30.6687,3
77,0,104.3122,30.6094,3
78,0,103.8386,30.6859,21
79,0,104.2865,30.5612,5
80,0,103.9877,30.7716,3
81,0,104.2005,30.8158,4
82,0,103.9844,30.6175,3
83,0,104.2822,30.8829,4
84,0,103.6325,30.9806,4
85,0,103.9623,30.5762,13
86,0,104.0456,30.7262,6
87,0,104.0157,30.6581,7
88,0,104.1527,30.7607,4
89,0,104.0645,30.5541,16
90,0,104.1657,30.5854,4
91,0,104.0636,30.6422,13
92,0,103.8776,30.6878,4
